 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 4.76400000e-04  2.50014774e+00  3.81407807e+00  2.48477416e+00  2.48082259e+00 -3.32863577e-05 
 4.81400000e-04  2.50011660e+00  3.81701962e+00  2.48771417e+00  2.48373742e+00 -3.32651798e-05 
 4.86400000e-04  2.50008535e+00  3.81997461e+00  2.49066731e+00  2.48666931e+00 -3.32439047e-05 
 4.91400000e-04  2.50005401e+00  3.82294011e+00  2.49363064e+00  2.48961537e+00 -3.32225534e-05 
 4.96400000e-04  2.50002262e+00  3.82591318e+00  2.49660124e+00  2.49257267e+00 -3.32011472e-05 
 5.01400000e-04  2.49999120e+00  3.82889088e+00  2.49957617e+00  2.49553828e+00 -3.31797073e-05 
 5.06400000e-04  2.49995980e+00  3.83187026e+00  2.50255247e+00  2.49850927e+00 -3.31582549e-05 
 5.11400000e-04  2.49992843e+00  3.83484837e+00  2.50552721e+00  2.50148269e+00 -3.31368111e-05 
 5.16400000e-04  2.49989714e+00  3.83782228e+00  2.50849745e+00  2.50445562e+00 -3.31153973e-05 
 5.21400000e-04  2.49986594e+00  3.84078905e+00  2.51146025e+00  2.50742510e+00 -3.30940344e-05 
 5.26400000e-04  2.49983488e+00  3.84374576e+00  2.51441270e+00  2.51038820e+00 -3.30727437e-05 
 5.31400000e-04  2.49980399e+00  3.84668948e+00  2.51735188e+00  2.51334201e+00 -3.30515460e-05 
 5.36400000e-04  2.49977328e+00  3.84961732e+00  2.52027489e+00  2.51628361e+00 -3.30304622e-05 
 5.41400000e-04  2.49974280e+00  3.85252639e+00  2.52317887e+00  2.51921010e+00 -3.30095131e-05 
 5.46400000e-04  2.49971257e+00  3.85541384e+00  2.52606095e+00  2.52211860e+00 -3.29887193e-05 
 5.51400000e-04  2.49968263e+00  3.85827683e+00  2.52891830e+00  2.52500625e+00 -3.29681011e-05 
 5.56400000e-04  2.49965300e+00  3.86111254e+00  2.53174811e+00  2.52787020e+00 -3.29476788e-05 
 5.61400000e-04  2.49962371e+00  3.86391819e+00  2.53454761e+00  2.53070765e+00 -3.29274724e-05 
 5.66400000e-04  2.49959479e+00  3.86669103e+00  2.53731405e+00  2.53351581e+00 -3.29075017e-05 
 5.71400000e-04  2.49956628e+00  3.86942834e+00  2.54004472e+00  2.53629192e+00 -3.28877862e-05 
 5.76400000e-04  2.49953819e+00  3.87212745e+00  2.54273694e+00  2.53903327e+00 -3.28683452e-05 
 5.81400000e-04  2.49951056e+00  3.87478571e+00  2.54538809e+00  2.54173717e+00 -3.28491976e-05 
 5.86400000e-04  2.49948341e+00  3.87740051e+00  2.54799556e+00  2.54440096e+00 -3.28303621e-05 
 5.91400000e-04  2.49945677e+00  3.87996932e+00  2.55055682e+00  2.54702205e+00 -3.28118571e-05 
 5.96400000e-04  2.49943066e+00  3.88248962e+00  2.55306936e+00  2.54959788e+00 -3.27937006e-05 
 6.01400000e-04  2.49940512e+00  3.88495895e+00  2.55553073e+00  2.55212593e+00 -3.27759101e-05 
 6.06400000e-04  2.49938017e+00  3.88737490e+00  2.55793854e+00  2.55460373e+00 -3.27585031e-05 
 6.11400000e-04  2.49935582e+00  3.88973513e+00  2.56029042e+00  2.55702886e+00 -3.27414964e-05 
 6.16400000e-04  2.49933212e+00  3.89203733e+00  2.56258411e+00  2.55939897e+00 -3.27249065e-05 
 6.21400000e-04  2.49930907e+00  3.89427927e+00  2.56481737e+00  2.56171175e+00 -3.27087494e-05 
 6.26400000e-04  2.49928670e+00  3.89645876e+00  2.56698802e+00  2.56396495e+00 -3.26930408e-05 
 6.31400000e-04  2.49926504e+00  3.89857370e+00  2.56909396e+00  2.56615637e+00 -3.26777959e-05 
 6.36400000e-04  2.49924410e+00  3.90062202e+00  2.57113314e+00  2.56828388e+00 -3.26630294e-05 
 6.41400000e-04  2.49922391e+00  3.90260175e+00  2.57310360e+00  2.57034544e+00 -3.26487555e-05 
 6.46400000e-04  2.49920448e+00  3.90451096e+00  2.57500341e+00  2.57233902e+00 -3.26349881e-05 
 6.51400000e-04  2.49918584e+00  3.90634780e+00  2.57683073e+00  2.57426270e+00 -3.26217404e-05 
 6.56400000e-04  2.49916801e+00  3.90811050e+00  2.57858381e+00  2.57611462e+00 -3.26090251e-05 
 6.61400000e-04  2.49915099e+00  3.90979735e+00  2.58026094e+00  2.57789299e+00 -3.25968545e-05 
 6.66400000e-04  2.49913481e+00  3.91140673e+00  2.58186051e+00  2.57959607e+00 -3.25852403e-05 
 6.71400000e-04  2.49911949e+00  3.91293706e+00  2.58338096e+00  2.58122223e+00 -3.25741936e-05 
 6.76400000e-04  2.49910503e+00  3.91438689e+00  2.58482083e+00  2.58276990e+00 -3.25637251e-05 
 6.81400000e-04  2.49909146e+00  3.91575481e+00  2.58617873e+00  2.58423758e+00 -3.25538448e-05 
 6.86400000e-04  2.49907879e+00  3.91703949e+00  2.58745334e+00  2.58562384e+00 -3.25445621e-05 
 6.91400000e-04  2.49906702e+00  3.91823971e+00  2.58864345e+00  2.58692737e+00 -3.25358860e-05 
 6.96400000e-04  2.49905618e+00  3.91935430e+00  2.58974790e+00  2.58814689e+00 -3.25278248e-05 
 7.01400000e-04  2.49904626e+00  3.92038219e+00  2.59076563e+00  2.58928123e+00 -3.25203862e-05 
 7.06400000e-04  2.49903729e+00  3.92132239e+00  2.59169566e+00  2.59032930e+00 -3.25135773e-05 
 7.11400000e-04  2.49902927e+00  3.92217399e+00  2.59253709e+00  2.59129010e+00 -3.25074046e-05 
 7.16400000e-04  2.49902220e+00  3.92293618e+00  2.59328912e+00  2.59216268e+00 -3.25018741e-05 
 7.21400000e-04  2.49901610e+00  3.92360822e+00  2.59395101e+00  2.59294622e+00 -3.24969910e-05 
 7.26400000e-04  2.49901097e+00  3.92418947e+00  2.59452214e+00  2.59363996e+00 -3.24927600e-05 
 7.31400000e-04  2.49900682e+00  3.92467936e+00  2.59500195e+00  2.59424323e+00 -3.24891851e-05 
 7.36400000e-04  2.49900365e+00  3.92507742e+00  2.59538999e+00  2.59475546e+00 -3.24862698e-05 
 7.41400000e-04  2.49900146e+00  3.92538328e+00  2.59568587e+00  2.59517614e+00 -3.24840168e-05 
 7.46400000e-04  2.49900026e+00  3.92559663e+00  2.59588931e+00  2.59550488e+00 -3.24824283e-05 
 7.51400000e-04  2.49900004e+00  3.92571728e+00  2.59600013e+00  2.59574135e+00 -3.24815059e-05 
 7.56400000e-04  2.49900081e+00  3.92574510e+00  2.59601820e+00  2.59588534e+00 -3.24812503e-05 
 7.61400000e-04  2.49900256e+00  3.92568006e+00  2.59594352e+00  2.59593669e+00 -3.24816619e-05 
 7.66400000e-04  2.49900530e+00  3.92552224e+00  2.59577615e+00  2.59589537e+00 -3.24827403e-05 
 7.71400000e-04  2.49900903e+00  3.92527177e+00  2.59551625e+00  2.59576141e+00 -3.24844845e-05 
 7.76400000e-04  2.49901373e+00  3.92492891e+00  2.59516408e+00  2.59553493e+00 -3.24868928e-05 
 7.81400000e-04  2.49901940e+00  3.92449397e+00  2.59471996e+00  2.59521616e+00 -3.24899628e-05 
 7.86400000e-04  2.49902604e+00  3.92396738e+00  2.59418434e+00  2.59480540e+00 -3.24936918e-05 
 7.91400000e-04  2.49903364e+00  3.92334963e+00  2.59355771e+00  2.59430305e+00 -3.24980761e-05 
 7.96400000e-04  2.49904220e+00  3.92264134e+00  2.59284069e+00  2.59370958e+00 -3.25031116e-05 
 8.01400000e-04  2.49905170e+00  3.92184317e+00  2.59203396e+00  2.59302557e+00 -3.25087935e-05 
 8.06400000e-04  2.49906214e+00  3.92095588e+00  2.59113829e+00  2.59225168e+00 -3.25151163e-05 
 8.11400000e-04  2.49907350e+00  3.91998035e+00  2.59015455e+00  2.59138864e+00 -3.25220740e-05 
