 frequency       onoise_spectrum inoise_spectrum
 8.17523038e+03  7.91051827e-07  1.80433036e-08 
 8.41395142e+03  7.87447216e-07  1.79941064e-08 
 8.65964323e+03  7.83826713e-07  1.79461877e-08 
 8.91250938e+03  7.80185299e-07  1.78995179e-08 
 9.17275935e+03  7.76517834e-07  1.78540676e-08 
 9.44060876e+03  7.72819058e-07  1.78098082e-08 
 9.71627952e+03  7.69083588e-07  1.77667118e-08 
 1.00000000e+04  7.65305923e-07  1.77247509e-08 
 1.02920053e+04  7.61480434e-07  1.76838987e-08 
 1.05925373e+04  7.57601376e-07  1.76441289e-08 
 1.09018449e+04  7.53662881e-07  1.76054160e-08 
 1.12201845e+04  7.49658969e-07  1.75677347e-08 
 1.15478198e+04  7.45583544e-07  1.75310607e-08 
 1.18850223e+04  7.41430407e-07  1.74953698e-08 
 1.22320712e+04  7.37193257e-07  1.74606389e-08 
 1.25892541e+04  7.32865704e-07  1.74268450e-08 
 1.29568670e+04  7.28441274e-07  1.73939658e-08 
 1.33352143e+04  7.23913427e-07  1.73619795e-08 
 1.37246096e+04  7.19275565e-07  1.73308651e-08 
 1.41253754e+04  7.14521052e-07  1.73006016e-08 
 1.45378439e+04  7.09643229e-07  1.72711691e-08 
 1.49623566e+04  7.04635433e-07  1.72425479e-08 
 1.53992653e+04  6.99491026e-07  1.72147187e-08 
 1.58489319e+04  6.94203411e-07  1.71876631e-08 
 1.63117291e+04  6.88766065e-07  1.71613629e-08 
 1.67880402e+04  6.83172567e-07  1.71358006e-08 
 1.72782598e+04  6.77416630e-07  1.71109589e-08 
 1.77827941e+04  6.71492135e-07  1.70868214e-08 
 1.83020611e+04  6.65393169e-07  1.70633719e-08 
 1.88364909e+04  6.59114065e-07  1.70405947e-08 
 1.93865264e+04  6.52649442e-07  1.70184749e-08 
 1.99526231e+04  6.45994246e-07  1.69969976e-08 
