 time            v(vin)          v(b1_base)      v(b1_emitter)   v(b1_collector) v(b1_out)      
 1.37280000e-04  2.50075951e+00  1.12996608e+00  3.36218048e-01  3.36242730e+00  3.36242730e+00 
 1.38280000e-04  2.50076358e+00  1.12997014e+00  3.36221790e-01  3.36240910e+00  3.36240910e+00 
 1.39280000e-04  2.50076762e+00  1.12997417e+00  3.36225504e-01  3.36239102e+00  3.36239102e+00 
 1.40280000e-04  2.50077163e+00  1.12997818e+00  3.36229191e-01  3.36237309e+00  3.36237309e+00 
 1.41280000e-04  2.50077561e+00  1.12998215e+00  3.36232849e-01  3.36235529e+00  3.36235529e+00 
 1.42280000e-04  2.50077957e+00  1.12998608e+00  3.36236479e-01  3.36233763e+00  3.36233763e+00 
 1.43280000e-04  2.50078349e+00  1.12998999e+00  3.36240081e-01  3.36232011e+00  3.36232011e+00 
 1.44280000e-04  2.50078737e+00  1.12999387e+00  3.36243654e-01  3.36230272e+00  3.36230272e+00 
 1.45280000e-04  2.50079123e+00  1.12999772e+00  3.36247199e-01  3.36228548e+00  3.36228548e+00 
 1.46280000e-04  2.50079506e+00  1.13000153e+00  3.36250714e-01  3.36226837e+00  3.36226837e+00 
 1.47280000e-04  2.50079885e+00  1.13000532e+00  3.36254201e-01  3.36225141e+00  3.36225141e+00 
 1.48280000e-04  2.50080262e+00  1.13000907e+00  3.36257658e-01  3.36223459e+00  3.36223459e+00 
 1.49280000e-04  2.50080635e+00  1.13001279e+00  3.36261087e-01  3.36221791e+00  3.36221791e+00 
 1.50280000e-04  2.50081005e+00  1.13001648e+00  3.36264486e-01  3.36220137e+00  3.36220137e+00 
 1.51280000e-04  2.50081372e+00  1.13002014e+00  3.36267855e-01  3.36218498e+00  3.36218498e+00 
 1.52280000e-04  2.50081735e+00  1.13002376e+00  3.36271195e-01  3.36216873e+00  3.36216873e+00 
 1.53280000e-04  2.50082096e+00  1.13002735e+00  3.36274505e-01  3.36215263e+00  3.36215263e+00 
 1.54280000e-04  2.50082453e+00  1.13003091e+00  3.36277785e-01  3.36213667e+00  3.36213667e+00 
 1.55280000e-04  2.50082807e+00  1.13003444e+00  3.36281035e-01  3.36212086e+00  3.36212086e+00 
 1.56280000e-04  2.50083157e+00  1.13003793e+00  3.36284255e-01  3.36210519e+00  3.36210519e+00 
 1.57280000e-04  2.50083505e+00  1.13004139e+00  3.36287444e-01  3.36208968e+00  3.36208968e+00 
 1.58280000e-04  2.50083849e+00  1.13004482e+00  3.36290603e-01  3.36207431e+00  3.36207431e+00 
 1.59280000e-04  2.50084190e+00  1.13004822e+00  3.36293732e-01  3.36205908e+00  3.36205908e+00 
 1.60280000e-04  2.50084527e+00  1.13005158e+00  3.36296830e-01  3.36204401e+00  3.36204401e+00 
 1.61280000e-04  2.50084861e+00  1.13005491e+00  3.36299897e-01  3.36202909e+00  3.36202909e+00 
 1.62280000e-04  2.50085192e+00  1.13005820e+00  3.36302933e-01  3.36201432e+00  3.36201432e+00 
 1.63280000e-04  2.50085519e+00  1.13006147e+00  3.36305938e-01  3.36199970e+00  3.36199970e+00 
 1.64280000e-04  2.50085843e+00  1.13006469e+00  3.36308913e-01  3.36198523e+00  3.36198523e+00 
 1.65280000e-04  2.50086164e+00  1.13006789e+00  3.36311855e-01  3.36197091e+00  3.36197091e+00 
 1.66280000e-04  2.50086481e+00  1.13007105e+00  3.36314767e-01  3.36195675e+00  3.36195675e+00 
 1.67280000e-04  2.50086795e+00  1.13007417e+00  3.36317647e-01  3.36194273e+00  3.36194273e+00 
 1.68280000e-04  2.50087105e+00  1.13007726e+00  3.36320495e-01  3.36192888e+00  3.36192888e+00 
 1.69280000e-04  2.50087412e+00  1.13008032e+00  3.36323311e-01  3.36191517e+00  3.36191517e+00 
 1.70280000e-04  2.50087715e+00  1.13008334e+00  3.36326096e-01  3.36190163e+00  3.36190163e+00 
 1.71280000e-04  2.50088015e+00  1.13008633e+00  3.36328849e-01  3.36188823e+00  3.36188823e+00 
 1.72280000e-04  2.50088312e+00  1.13008928e+00  3.36331570e-01  3.36187500e+00  3.36187500e+00 
 1.73280000e-04  2.50088605e+00  1.13009220e+00  3.36334258e-01  3.36186192e+00  3.36186192e+00 
 1.74280000e-04  2.50088894e+00  1.13009508e+00  3.36336915e-01  3.36184899e+00  3.36184899e+00 
