 time            v(vin)          v(b3_collector) v(vout_final)   i(vdd)         
 1.00640000e-03  2.50004020e+00  3.83312949e+00  2.50318490e+00 -3.31438695e-05 
 1.01140000e-03  2.50007157e+00  3.83015019e+00  2.50021285e+00 -3.31653227e-05 
 1.01640000e-03  2.50010286e+00  3.82717128e+00  2.49724150e+00 -3.31867779e-05 
 1.02140000e-03  2.50013406e+00  3.82419572e+00  2.49427378e+00 -3.32082139e-05 
 1.02640000e-03  2.50016512e+00  3.82122644e+00  2.49131263e+00 -3.32296095e-05 
 1.03140000e-03  2.50019601e+00  3.81826639e+00  2.48836098e+00 -3.32509434e-05 
 1.03640000e-03  2.50022672e+00  3.81531850e+00  2.48542174e+00 -3.32721945e-05 
 1.04140000e-03  2.50025720e+00  3.81238569e+00  2.48249785e+00 -3.32933417e-05 
 1.04640000e-03  2.50028743e+00  3.80947087e+00  2.47959219e+00 -3.33143640e-05 
 1.05140000e-03  2.50031737e+00  3.80657694e+00  2.47670765e+00 -3.33352405e-05 
 1.05640000e-03  2.50034700e+00  3.80370676e+00  2.47384710e+00 -3.33559505e-05 
 1.06140000e-03  2.50037629e+00  3.80086320e+00  2.47101337e+00 -3.33764733e-05 
 1.06640000e-03  2.50040521e+00  3.79804907e+00  2.46820929e+00 -3.33967884e-05 
 1.07140000e-03  2.50043372e+00  3.79526718e+00  2.46543765e+00 -3.34168757e-05 
 1.07640000e-03  2.50046181e+00  3.79252029e+00  2.46270120e+00 -3.34367150e-05 
 1.08140000e-03  2.50048944e+00  3.78981114e+00  2.46000266e+00 -3.34562866e-05 
 1.08640000e-03  2.50051659e+00  3.78714244e+00  2.45734473e+00 -3.34755710e-05 
 1.09140000e-03  2.50054323e+00  3.78451683e+00  2.45473006e+00 -3.34945488e-05 
 1.09640000e-03  2.50056934e+00  3.78193694e+00  2.45216125e+00 -3.35132011e-05 
 1.10140000e-03  2.50059488e+00  3.77940534e+00  2.44964086e+00 -3.35315092e-05 
 1.10640000e-03  2.50061983e+00  3.77692456e+00  2.44717141e+00 -3.35494548e-05 
 1.11140000e-03  2.50064418e+00  3.77449707e+00  2.44475537e+00 -3.35670199e-05 
 1.11640000e-03  2.50066788e+00  3.77212531e+00  2.44239514e+00 -3.35841870e-05 
 1.12140000e-03  2.50069093e+00  3.76981163e+00  2.44009309e+00 -3.36009387e-05 
 1.12640000e-03  2.50071330e+00  3.76755835e+00  2.43785152e+00 -3.36172584e-05 
 1.13140000e-03  2.50073496e+00  3.76536773e+00  2.43567267e+00 -3.36331296e-05 
 1.13640000e-03  2.50075590e+00  3.76324195e+00  2.43355871e+00 -3.36485364e-05 
 1.14140000e-03  2.50077609e+00  3.76118314e+00  2.43151177e+00 -3.36634633e-05 
 1.14640000e-03  2.50079552e+00  3.75919336e+00  2.42953389e+00 -3.36778953e-05 
 1.15140000e-03  2.50081416e+00  3.75727461e+00  2.42762705e+00 -3.36918180e-05 
 1.15640000e-03  2.50083199e+00  3.75542881e+00  2.42579316e+00 -3.37052173e-05 
 1.16140000e-03  2.50084901e+00  3.75365780e+00  2.42403405e+00 -3.37180798e-05 
 1.16640000e-03  2.50086519e+00  3.75196335e+00  2.42235150e+00 -3.37303924e-05 
 1.17140000e-03  2.50088051e+00  3.75034718e+00  2.42074717e+00 -3.37421429e-05 
 1.17640000e-03  2.50089497e+00  3.74881089e+00  2.41922269e+00 -3.37533194e-05 
 1.18140000e-03  2.50090854e+00  3.74735602e+00  2.41777959e+00 -3.37639107e-05 
 1.18640000e-03  2.50092121e+00  3.74598404e+00  2.41641930e+00 -3.37739061e-05 
 1.19140000e-03  2.50093298e+00  3.74469632e+00  2.41514319e+00 -3.37832954e-05 
 1.19640000e-03  2.50094382e+00  3.74349414e+00  2.41395254e+00 -3.37920694e-05 
 1.20140000e-03  2.50095374e+00  3.74237873e+00  2.41284854e+00 -3.38002191e-05 
 1.20640000e-03  2.50096271e+00  3.74135119e+00  2.41183231e+00 -3.38077363e-05 
 1.21140000e-03  2.50097073e+00  3.74041256e+00  2.41090486e+00 -3.38146134e-05 
 1.21640000e-03  2.50097780e+00  3.73956378e+00  2.41006712e+00 -3.38208436e-05 
 1.22140000e-03  2.50098390e+00  3.73880569e+00  2.40931994e+00 -3.38264205e-05 
 1.22640000e-03  2.50098903e+00  3.73813907e+00  2.40866405e+00 -3.38313385e-05 
 1.23140000e-03  2.50099318e+00  3.73756457e+00  2.40810013e+00 -3.38355927e-05 
 1.23640000e-03  2.50099635e+00  3.73708278e+00  2.40762873e+00 -3.38391787e-05 
 1.24140000e-03  2.50099854e+00  3.73669418e+00  2.40725033e+00 -3.38420931e-05 
 1.24640000e-03  2.50099974e+00  3.73639916e+00  2.40696531e+00 -3.38443328e-05 
 1.25140000e-03  2.50099996e+00  3.73619801e+00  2.40677395e+00 -3.38458955e-05 
 1.25640000e-03  2.50099919e+00  3.73609093e+00  2.40667645e+00 -3.38467798e-05 
 1.26140000e-03  2.50099744e+00  3.73607804e+00  2.40667289e+00 -3.38469848e-05 
 1.26640000e-03  2.50099470e+00  3.73615934e+00  2.40676330e+00 -3.38465102e-05 
 1.27140000e-03  2.50099097e+00  3.73633475e+00  2.40694756e+00 -3.38453565e-05 
 1.27640000e-03  2.50098627e+00  3.73660410e+00  2.40722551e+00 -3.38435249e-05 
 1.28140000e-03  2.50098060e+00  3.73696711e+00  2.40759685e+00 -3.38410172e-05 
 1.28640000e-03  2.50097396e+00  3.73742342e+00  2.40806121e+00 -3.38378361e-05 
 1.29140000e-03  2.50096636e+00  3.73797256e+00  2.40861813e+00 -3.38339847e-05 
 1.29640000e-03  2.50095780e+00  3.73861400e+00  2.40926705e+00 -3.38294669e-05 
 1.30140000e-03  2.50094830e+00  3.73934708e+00  2.41000731e+00 -3.38242874e-05 
 1.30640000e-03  2.50093786e+00  3.74017106e+00  2.41083818e+00 -3.38184512e-05 
 1.31140000e-03  2.50092650e+00  3.74108512e+00  2.41175881e+00 -3.38119643e-05 
 1.31640000e-03  2.50091423e+00  3.74208834e+00  2.41276828e+00 -3.38048334e-05 
 1.32140000e-03  2.50090105e+00  3.74317971e+00  2.41386557e+00 -3.37970655e-05 
 1.32640000e-03  2.50088698e+00  3.74435814e+00  2.41504960e+00 -3.37886685e-05 
 1.33140000e-03  2.50087204e+00  3.74562244e+00  2.41631915e+00 -3.37796509e-05 
 1.33640000e-03  2.50085623e+00  3.74697134e+00  2.41767297e+00 -3.37700219e-05 
 1.34140000e-03  2.50083958e+00  3.74840350e+00  2.41910970e+00 -3.37597910e-05 
 1.34640000e-03  2.50082210e+00  3.74991746e+00  2.42062788e+00 -3.37489686e-05 
 1.35140000e-03  2.50080382e+00  3.75151172e+00  2.42222600e+00 -3.37375657e-05 
 1.35640000e-03  2.50078473e+00  3.75318468e+00  2.42390246e+00 -3.37255937e-05 
 1.36140000e-03  2.50076488e+00  3.75493465e+00  2.42565557e+00 -3.37130646e-05 
 1.36640000e-03  2.50074426e+00  3.75675989e+00  2.42748358e+00 -3.36999912e-05 
 1.37140000e-03  2.50072292e+00  3.75865856e+00  2.42938466e+00 -3.36863865e-05 
 1.37640000e-03  2.50070086e+00  3.76062876e+00  2.43135689e+00 -3.36722642e-05 
 1.38140000e-03  2.50067811e+00  3.76266853e+00  2.43339832e+00 -3.36576386e-05 
 1.38640000e-03  2.50065469e+00  3.76477581e+00  2.43550688e+00 -3.36425244e-05 
 1.39140000e-03  2.50063062e+00  3.76694849e+00  2.43768047e+00 -3.36269367e-05 
 1.39640000e-03  2.50060593e+00  3.76918441e+00  2.43991692e+00 -3.36108912e-05 
 1.40140000e-03  2.50058065e+00  3.77148133e+00  2.44221399e+00 -3.35944040e-05 
