 time            v(vin)          v(b3_collector) v(vout_final)   i(vdd)         
 7.41400000e-04  2.49900146e+00  3.92524890e+00  2.59548554e+00 -3.24850411e-05 
 7.46400000e-04  2.49900026e+00  3.92550676e+00  2.59573686e+00 -3.24831161e-05 
 7.51400000e-04  2.49900004e+00  3.92567200e+00  2.59589561e+00 -3.24818564e-05 
 7.56400000e-04  2.49900081e+00  3.92574446e+00  2.59596163e+00 -3.24812633e-05 
 7.61400000e-04  2.49900256e+00  3.92572407e+00  2.59593486e+00 -3.24813374e-05 
 7.66400000e-04  2.49900530e+00  3.92561085e+00  2.59581533e+00 -3.24820785e-05 
 7.71400000e-04  2.49900903e+00  3.92540491e+00  2.59560315e+00 -3.24834860e-05 
 7.76400000e-04  2.49901373e+00  3.92510644e+00  2.59529852e+00 -3.24855585e-05 
 7.81400000e-04  2.49901940e+00  3.92471573e+00  2.59490174e+00 -3.24882941e-05 
 7.86400000e-04  2.49902604e+00  3.92423316e+00  2.59441318e+00 -3.24916902e-05 
 7.91400000e-04  2.49903364e+00  3.92365918e+00  2.59383332e+00 -3.24957436e-05 
 7.96400000e-04  2.49904220e+00  3.92299436e+00  2.59316270e+00 -3.25004503e-05 
 8.01400000e-04  2.49905170e+00  3.92223932e+00  2.59240199e+00 -3.25058059e-05 
 8.06400000e-04  2.49906214e+00  3.92139479e+00  2.59155189e+00 -3.25118053e-05 
 8.11400000e-04  2.49907350e+00  3.92046159e+00  2.59061325e+00 -3.25184429e-05 
 8.16400000e-04  2.49908577e+00  3.91944061e+00  2.58958694e+00 -3.25257121e-05 
 8.21400000e-04  2.49909895e+00  3.91833283e+00  2.58847397e+00 -3.25336061e-05 
 8.26400000e-04  2.49911302e+00  3.91713932e+00  2.58727540e+00 -3.25421174e-05 
 8.31400000e-04  2.49912796e+00  3.91586123e+00  2.58599239e+00 -3.25512379e-05 
 8.36400000e-04  2.49914377e+00  3.91449979e+00  2.58462618e+00 -3.25609587e-05 
 8.41400000e-04  2.49916042e+00  3.91305632e+00  2.58317807e+00 -3.25712706e-05 
 8.46400000e-04  2.49917790e+00  3.91153219e+00  2.58164947e+00 -3.25821636e-05 
