 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 4.61400000e-04  2.50024016e+00  3.80096407e+00  2.47180075e+00  2.46964155e+00 -3.33849952e-05 
 4.66400000e-04  2.50020955e+00  3.80380056e+00  2.47462396e+00  2.47244174e+00 -3.33646245e-05 
 4.71400000e-04  2.50017873e+00  3.80666361e+00  2.47747329e+00  2.47527023e+00 -3.33440578e-05 
 4.76400000e-04  2.50014774e+00  3.80955038e+00  2.48034590e+00  2.47812418e+00 -3.33233155e-05 
 4.81400000e-04  2.50011660e+00  3.81245801e+00  2.48323895e+00  2.48100078e+00 -3.33024182e-05 
 4.86400000e-04  2.50008535e+00  3.81538359e+00  2.48614956e+00  2.48389717e+00 -3.32813867e-05 
 4.91400000e-04  2.50005401e+00  3.81832425e+00  2.48907484e+00  2.48681046e+00 -3.32602420e-05 
 4.96400000e-04  2.50002262e+00  3.82127705e+00  2.49201190e+00  2.48973778e+00 -3.32390049e-05 
 5.01400000e-04  2.49999120e+00  3.82423907e+00  2.49495783e+00  2.49267621e+00 -3.32176965e-05 
 5.06400000e-04  2.49995980e+00  3.82720738e+00  2.49790970e+00  2.49562285e+00 -3.31963380e-05 
 5.11400000e-04  2.49992843e+00  3.83017905e+00  2.50086460e+00  2.49857478e+00 -3.31749505e-05 
 5.16400000e-04  2.49989714e+00  3.83315112e+00  2.50381961e+00  2.50152908e+00 -3.31535552e-05 
 5.21400000e-04  2.49986594e+00  3.83612068e+00  2.50677179e+00  2.50448283e+00 -3.31321731e-05 
 5.26400000e-04  2.49983488e+00  3.83908478e+00  2.50971825e+00  2.50743311e+00 -3.31108255e-05 
 5.31400000e-04  2.49980399e+00  3.84204050e+00  2.51265607e+00  2.51037700e+00 -3.30895334e-05 
 5.36400000e-04  2.49977328e+00  3.84498492e+00  2.51558235e+00  2.51331161e+00 -3.30683177e-05 
 5.41400000e-04  2.49974280e+00  3.84791514e+00  2.51849422e+00  2.51623403e+00 -3.30471993e-05 
 5.46400000e-04  2.49971257e+00  3.85082828e+00  2.52138879e+00  2.51914140e+00 -3.30261991e-05 
 5.51400000e-04  2.49968263e+00  3.85372147e+00  2.52426323e+00  2.52203084e+00 -3.30053377e-05 
 5.56400000e-04  2.49965300e+00  3.85659187e+00  2.52711471e+00  2.52489951e+00 -3.29846355e-05 
 5.61400000e-04  2.49962371e+00  3.85943665e+00  2.52994042e+00  2.52774460e+00 -3.29641129e-05 
 5.66400000e-04  2.49959479e+00  3.86225303e+00  2.53273759e+00  2.53056330e+00 -3.29437901e-05 
 5.71400000e-04  2.49956628e+00  3.86503823e+00  2.53550349e+00  2.53335285e+00 -3.29236868e-05 
 5.76400000e-04  2.49953819e+00  3.86778953e+00  2.53823538e+00  2.53611052e+00 -3.29038227e-05 
 5.81400000e-04  2.49951056e+00  3.87050424e+00  2.54093061e+00  2.53883360e+00 -3.28842174e-05 
 5.86400000e-04  2.49948341e+00  3.87317969e+00  2.54358652e+00  2.54151943e+00 -3.28648899e-05 
 5.91400000e-04  2.49945677e+00  3.87581327e+00  2.54620053e+00  2.54416537e+00 -3.28458591e-05 
 5.96400000e-04  2.49943066e+00  3.87840241e+00  2.54877008e+00  2.54676883e+00 -3.28271435e-05 
 6.01400000e-04  2.49940512e+00  3.88094457e+00  2.55129265e+00  2.54932728e+00 -3.28087613e-05 
 6.06400000e-04  2.49938017e+00  3.88343728e+00  2.55376580e+00  2.55183822e+00 -3.27907305e-05 
 6.11400000e-04  2.49935582e+00  3.88587810e+00  2.55618709e+00  2.55429919e+00 -3.27730686e-05 
 6.16400000e-04  2.49933212e+00  3.88826465e+00  2.55855418e+00  2.55670779e+00 -3.27557927e-05 
 6.21400000e-04  2.49930907e+00  3.89059463e+00  2.56086477e+00  2.55906168e+00 -3.27389196e-05 
 6.26400000e-04  2.49928670e+00  3.89286574e+00  2.56311659e+00  2.56135857e+00 -3.27224656e-05 
 6.31400000e-04  2.49926504e+00  3.89507579e+00  2.56530747e+00  2.56359623e+00 -3.27064466e-05 
 6.36400000e-04  2.49924410e+00  3.89722264e+00  2.56743527e+00  2.56577247e+00 -3.26908783e-05 
 6.41400000e-04  2.49922391e+00  3.89930418e+00  2.56949793e+00  2.56788518e+00 -3.26757755e-05 
 6.46400000e-04  2.49920448e+00  3.90131842e+00  2.57149344e+00  2.56993231e+00 -3.26611530e-05 
 6.51400000e-04  2.49918584e+00  3.90326338e+00  2.57341988e+00  2.57191188e+00 -3.26470248e-05 
 6.56400000e-04  2.49916801e+00  3.90513720e+00  2.57527537e+00  2.57382197e+00 -3.26334046e-05 
 6.61400000e-04  2.49915099e+00  3.90693805e+00  2.57705812e+00  2.57566072e+00 -3.26203054e-05 
 6.66400000e-04  2.49913481e+00  3.90866418e+00  2.57876641e+00  2.57742636e+00 -3.26077399e-05 
 6.71400000e-04  2.49911949e+00  3.91031394e+00  2.58039857e+00  2.57911717e+00 -3.25957202e-05 
 6.76400000e-04  2.49910503e+00  3.91188573e+00  2.58195303e+00  2.58073153e+00 -3.25842578e-05 
 6.81400000e-04  2.49909146e+00  3.91337802e+00  2.58342830e+00  2.58226787e+00 -3.25733638e-05 
 6.86400000e-04  2.49907879e+00  3.91478938e+00  2.58482294e+00  2.58372470e+00 -3.25630486e-05 
 6.91400000e-04  2.49906702e+00  3.91611845e+00  2.58613562e+00  2.58510063e+00 -3.25533222e-05 
 6.96400000e-04  2.49905618e+00  3.91736393e+00  2.58736505e+00  2.58639431e+00 -3.25441938e-05 
 7.01400000e-04  2.49904626e+00  3.91852464e+00  2.58851007e+00  2.58760452e+00 -3.25356722e-05 
