 time            v(vin)          v(b3_collector) v(vout_drv)     v(vfilt1)       v(vout_final)   i(vdd)         
 8.41400000e-04  2.49916042e+00  3.91271941e+00  2.58293521e+00  2.58421191e+00  2.58485596e+00 -4.65741029e-05 
 8.46400000e-04  2.49917790e+00  3.91117649e+00  2.58138408e+00  2.58273371e+00  2.58341518e+00 -4.65851549e-05 
 8.51400000e-04  2.49919618e+00  3.90955474e+00  2.57975427e+00  2.58117553e+00  2.58189376e+00 -4.65967748e-05 
 8.56400000e-04  2.49921527e+00  3.90785572e+00  2.57804736e+00  2.57953888e+00  2.58029318e+00 -4.66089514e-05 
 8.61400000e-04  2.49923512e+00  3.90608107e+00  2.57626499e+00  2.57782533e+00  2.57861498e+00 -4.66216730e-05 
 8.66400000e-04  2.49925574e+00  3.90423251e+00  2.57440890e+00  2.57603655e+00  2.57686078e+00 -4.66349274e-05 
 8.71400000e-04  2.49927708e+00  3.90231183e+00  2.57248087e+00  2.57417426e+00  2.57503227e+00 -4.66487018e-05 
 8.76400000e-04  2.49929914e+00  3.90032088e+00  2.57048278e+00  2.57224027e+00  2.57313122e+00 -4.66629830e-05 
 8.81400000e-04  2.49932189e+00  3.89826160e+00  2.56841655e+00  2.57023644e+00  2.57115948e+00 -4.66777572e-05 
 8.86400000e-04  2.49934531e+00  3.89613598e+00  2.56628420e+00  2.56816472e+00  2.56911896e+00 -4.66930102e-05 
 8.91400000e-04  2.49936938e+00  3.89394609e+00  2.56408779e+00  2.56602711e+00  2.56701162e+00 -4.67087272e-05 
 8.96400000e-04  2.49939407e+00  3.89169405e+00  2.56182945e+00  2.56382570e+00  2.56483952e+00 -4.67248930e-05 
 9.01400000e-04  2.49941935e+00  3.88938204e+00  2.55951137e+00  2.56156261e+00  2.56260477e+00 -4.67414920e-05 
 9.06400000e-04  2.49944521e+00  3.88701232e+00  2.55713582e+00  2.55924006e+00  2.56030952e+00 -4.67585081e-05 
 9.11400000e-04  2.49947162e+00  3.88458719e+00  2.55470510e+00  2.55686028e+00  2.55795603e+00 -4.67759249e-05 
 9.16400000e-04  2.49949855e+00  3.88210902e+00  2.55222158e+00  2.55442561e+00  2.55554657e+00 -4.67937254e-05 
 9.21400000e-04  2.49952597e+00  3.87958021e+00  2.54968768e+00  2.55193841e+00  2.55308349e+00 -4.68118923e-05 
 9.26400000e-04  2.49955386e+00  3.87700324e+00  2.54710587e+00  2.54940111e+00  2.55056919e+00 -4.68304080e-05 
 9.31400000e-04  2.49958220e+00  3.87438062e+00  2.54447867e+00  2.54681618e+00  2.54800612e+00 -4.68492544e-05 
 9.36400000e-04  2.49961094e+00  3.87171491e+00  2.54180864e+00  2.54418615e+00  2.54539679e+00 -4.68684133e-05 
 9.41400000e-04  2.49964007e+00  3.86900872e+00  2.53909841e+00  2.54151357e+00  2.54274374e+00 -4.68878658e-05 
 9.46400000e-04  2.49966955e+00  3.86626469e+00  2.53635061e+00  2.53880108e+00  2.54004956e+00 -4.69075931e-05 
 9.51400000e-04  2.49969936e+00  3.86348552e+00  2.53356794e+00  2.53605132e+00  2.53731689e+00 -4.69275759e-05 
 9.56400000e-04  2.49972947e+00  3.86067392e+00  2.53075313e+00  2.53326698e+00  2.53454841e+00 -4.69477945e-05 
 9.61400000e-04  2.49975984e+00  3.85783266e+00  2.52790893e+00  2.53045079e+00  2.53174682e+00 -4.69682293e-05 
 9.66400000e-04  2.49979045e+00  3.85496452e+00  2.52503814e+00  2.52760551e+00  2.52891487e+00 -4.69888602e-05 
 9.71400000e-04  2.49982127e+00  3.85207231e+00  2.52214358e+00  2.52473395e+00  2.52605535e+00 -4.70096670e-05 
 9.76400000e-04  2.49985226e+00  3.84915889e+00  2.51922809e+00  2.52183891e+00  2.52317106e+00 -4.70306292e-05 
 9.81400000e-04  2.49988340e+00  3.84622711e+00  2.51629454e+00  2.51892324e+00  2.52026482e+00 -4.70517262e-05 
 9.86400000e-04  2.49991465e+00  3.84327987e+00  2.51334581e+00  2.51598981e+00  2.51733951e+00 -4.70729373e-05 
 9.91400000e-04  2.49994599e+00  3.84032007e+00  2.51038482e+00  2.51304151e+00  2.51439800e+00 -4.70942417e-05 
 9.96400000e-04  2.49997738e+00  3.83735061e+00  2.50741448e+00  2.51008125e+00  2.51144319e+00 -4.71156182e-05 
 1.00140000e-03  2.50000880e+00  3.83437445e+00  2.50443772e+00  2.50711193e+00  2.50847798e+00 -4.71370459e-05 
 1.00640000e-03  2.50004020e+00  3.83139450e+00  2.50145747e+00  2.50413650e+00  2.50550531e+00 -4.71585035e-05 
