 time            v(vin)          v(b3_collector) v(vout_final)   i(vdd)         
 1.22140000e-03  2.50098390e+00  3.73852374e+00  2.40921763e+00 -3.38287808e-05 
 1.22640000e-03  2.50098903e+00  3.73788875e+00  2.40860333e+00 -3.38334310e-05 
 1.23140000e-03  2.50099318e+00  3.73734613e+00  2.40808132e+00 -3.38374153e-05 
 1.23640000e-03  2.50099635e+00  3.73689643e+00  2.40765213e+00 -3.38407297e-05 
 1.24140000e-03  2.50099854e+00  3.73654009e+00  2.40731620e+00 -3.38433708e-05 
 1.24640000e-03  2.50099974e+00  3.73627748e+00  2.40707385e+00 -3.38453361e-05 
 1.25140000e-03  2.50099996e+00  3.73610886e+00  2.40692534e+00 -3.38466234e-05 
 1.25640000e-03  2.50099919e+00  3.73603440e+00  2.40687080e+00 -3.38472316e-05 
 1.26140000e-03  2.50099744e+00  3.73605417e+00  2.40691030e+00 -3.38471599e-05 
 1.26640000e-03  2.50099470e+00  3.73616815e+00  2.40704378e+00 -3.38464086e-05 
 1.27140000e-03  2.50099097e+00  3.73637623e+00  2.40727113e+00 -3.38449783e-05 
 1.27640000e-03  2.50098627e+00  3.73667819e+00  2.40759211e+00 -3.38428706e-05 
 1.28140000e-03  2.50098060e+00  3.73707374e+00  2.40800639e+00 -3.38400875e-05 
 1.28640000e-03  2.50097396e+00  3.73756247e+00  2.40851356e+00 -3.38366318e-05 
 1.29140000e-03  2.50096636e+00  3.73814389e+00  2.40911311e+00 -3.38325072e-05 
 1.29640000e-03  2.50095780e+00  3.73881742e+00  2.40980443e+00 -3.38277176e-05 
 1.30140000e-03  2.50094830e+00  3.73958238e+00  2.41058684e+00 -3.38222680e-05 
 1.30640000e-03  2.50093786e+00  3.74043801e+00  2.41145953e+00 -3.38161639e-05 
 1.31140000e-03  2.50092650e+00  3.74138344e+00  2.41242165e+00 -3.38094115e-05 
 1.31640000e-03  2.50091423e+00  3.74241772e+00  2.41347222e+00 -3.38020175e-05 
 1.32140000e-03  2.50090105e+00  3.74353981e+00  2.41461018e+00 -3.37939895e-05 
 1.32640000e-03  2.50088698e+00  3.74474860e+00  2.41583440e+00 -3.37853355e-05 
 1.33140000e-03  2.50087204e+00  3.74604285e+00  2.41714364e+00 -3.37760642e-05 
 1.33640000e-03  2.50085623e+00  3.74742129e+00  2.41853659e+00 -3.37661851e-05 
 1.34140000e-03  2.50083958e+00  3.74888251e+00  2.42001185e+00 -3.37557081e-05 
 1.34640000e-03  2.50082210e+00  3.75042506e+00  2.42156794e+00 -3.37446436e-05 
 1.35140000e-03  2.50080382e+00  3.75204739e+00  2.42320331e+00 -3.37330030e-05 
 1.35640000e-03  2.50078473e+00  3.75374787e+00  2.42491630e+00 -3.37207979e-05 
 1.36140000e-03  2.50076488e+00  3.75552480e+00  2.42670521e+00 -3.37080407e-05 
 1.36640000e-03  2.50074426e+00  3.75737639e+00  2.42856823e+00 -3.36947440e-05 
 1.37140000e-03  2.50072292e+00  3.75930079e+00  2.43050351e+00 -3.36809215e-05 
 1.37640000e-03  2.50070086e+00  3.76129608e+00  2.43250910e+00 -3.36665868e-05 
 1.38140000e-03  2.50067811e+00  3.76336025e+00  2.43458300e+00 -3.36517546e-05 
 1.38640000e-03  2.50065469e+00  3.76549124e+00  2.43672312e+00 -3.36364395e-05 
 1.39140000e-03  2.50063062e+00  3.76768691e+00  2.43892733e+00 -3.36206572e-05 
 1.39640000e-03  2.50060593e+00  3.76994507e+00  2.44119342e+00 -3.36044234e-05 
 1.40140000e-03  2.50058065e+00  3.77226346e+00  2.44351913e+00 -3.35877543e-05 
