 time            v(vin)          v(b3_collector) v(vout_final)   i(vdd)         
 7.96400000e-04  2.49904220e+00  3.92299477e+00  2.59310449e+00 -3.25004527e-05 
 8.01400000e-04  2.49905170e+00  3.92223964e+00  2.59234811e+00 -3.25058086e-05 
 8.06400000e-04  2.49906214e+00  3.92139503e+00  2.59150227e+00 -3.25118083e-05 
 8.11400000e-04  2.49907350e+00  3.92046175e+00  2.59056779e+00 -3.25184461e-05 
 8.16400000e-04  2.49908577e+00  3.91944069e+00  2.58954556e+00 -3.25257156e-05 
 8.21400000e-04  2.49909895e+00  3.91833284e+00  2.58843656e+00 -3.25336098e-05 
 8.26400000e-04  2.49911302e+00  3.91713926e+00  2.58724187e+00 -3.25421213e-05 
 8.31400000e-04  2.49912796e+00  3.91586110e+00  2.58596262e+00 -3.25512419e-05 
 8.36400000e-04  2.49914377e+00  3.91449960e+00  2.58460007e+00 -3.25609629e-05 
 8.41400000e-04  2.49916042e+00  3.91305606e+00  2.58315551e+00 -3.25712749e-05 
 8.46400000e-04  2.49917790e+00  3.91153188e+00  2.58163034e+00 -3.25821681e-05 
 8.51400000e-04  2.49919618e+00  3.90992853e+00  2.58002603e+00 -3.25936321e-05 
 8.56400000e-04  2.49921527e+00  3.90824755e+00  2.57834414e+00 -3.26056558e-05 
 8.61400000e-04  2.49923512e+00  3.90649057e+00  2.57658628e+00 -3.26182277e-05 
 8.66400000e-04  2.49925574e+00  3.90465929e+00  2.57475416e+00 -3.26313356e-05 
 8.71400000e-04  2.49927708e+00  3.90275548e+00  2.57284954e+00 -3.26449671e-05 
 8.76400000e-04  2.49929914e+00  3.90078099e+00  2.57087428e+00 -3.26591089e-05 
 8.81400000e-04  2.49932189e+00  3.89873771e+00  2.56883028e+00 -3.26737475e-05 
 8.86400000e-04  2.49934531e+00  3.89662765e+00  2.56671953e+00 -3.26888687e-05 
 8.91400000e-04  2.49936938e+00  3.89445283e+00  2.56454407e+00 -3.27044579e-05 
 8.96400000e-04  2.49939407e+00  3.89221538e+00  2.56230601e+00 -3.27205000e-05 
 9.01400000e-04  2.49941935e+00  3.88991747e+00  2.56000754e+00 -3.27369796e-05 
 9.06400000e-04  2.49944521e+00  3.88756132e+00  2.55765087e+00 -3.27538807e-05 
 9.11400000e-04  2.49947162e+00  3.88514924e+00  2.55523832e+00 -3.27711869e-05 
 9.16400000e-04  2.49949855e+00  3.88268357e+00  2.55277222e+00 -3.27888814e-05 
 9.21400000e-04  2.49952597e+00  3.88016672e+00  2.55025498e+00 -3.28069470e-05 
 9.26400000e-04  2.49955386e+00  3.87760113e+00  2.54768905e+00 -3.28253662e-05 
 9.31400000e-04  2.49958220e+00  3.87498932e+00  2.54507693e+00 -3.28441211e-05 
 9.36400000e-04  2.49961094e+00  3.87233383e+00  2.54242119e+00 -3.28631933e-05 
 9.41400000e-04  2.49964007e+00  3.86963726e+00  2.53972441e+00 -3.28825644e-05 
 9.46400000e-04  2.49966955e+00  3.86690224e+00  2.53698923e+00 -3.29022153e-05 
 9.51400000e-04  2.49969936e+00  3.86413146e+00  2.53421833e+00 -3.29221269e-05 
 9.56400000e-04  2.49972947e+00  3.86132762e+00  2.53141443e+00 -3.29422798e-05 
 9.61400000e-04  2.49975984e+00  3.85849348e+00  2.52858027e+00 -3.29626542e-05 
 9.66400000e-04  2.49979045e+00  3.85563183e+00  2.52571863e+00 -3.29832301e-05 
 9.71400000e-04  2.49982127e+00  3.85274546e+00  2.52283233e+00 -3.30039874e-05 
 9.76400000e-04  2.49985226e+00  3.84983721e+00  2.51992420e+00 -3.30249057e-05 
 9.81400000e-04  2.49988340e+00  3.84690995e+00  2.51699710e+00 -3.30459645e-05 
 9.86400000e-04  2.49991465e+00  3.84396656e+00  2.51405391e+00 -3.30671430e-05 
 9.91400000e-04  2.49994599e+00  3.84100993e+00  2.51109753e+00 -3.30884204e-05 
 9.96400000e-04  2.49997738e+00  3.83804298e+00  2.50813087e+00 -3.31097756e-05 
 1.00140000e-03  2.50000880e+00  3.83506864e+00  2.50515687e+00 -3.31311878e-05 
 1.00640000e-03  2.50004020e+00  3.83208984e+00  2.50217846e+00 -3.31526357e-05 
 1.01140000e-03  2.50007157e+00  3.82910952e+00  2.49919857e+00 -3.31740981e-05 
 1.01640000e-03  2.50010286e+00  3.82613064e+00  2.49622015e+00 -3.31955539e-05 
 1.02140000e-03  2.50013406e+00  3.82315613e+00  2.49324616e+00 -3.32169817e-05 
 1.02640000e-03  2.50016512e+00  3.82018894e+00  2.49027953e+00 -3.32383604e-05 
 1.03140000e-03  2.50019601e+00  3.81723201e+00  2.48732319e+00 -3.32596688e-05 
 1.03640000e-03  2.50022672e+00  3.81428826e+00  2.48438009e+00 -3.32808858e-05 
 1.04140000e-03  2.50025720e+00  3.81136063e+00  2.48145314e+00 -3.33019901e-05 
 1.04640000e-03  2.50028743e+00  3.80845201e+00  2.47854524e+00 -3.33229610e-05 
 1.05140000e-03  2.50031737e+00  3.80556529e+00  2.47565928e+00 -3.33437776e-05 
 1.05640000e-03  2.50034700e+00  3.80270333e+00  2.47279813e+00 -3.33644191e-05 
 1.06140000e-03  2.50037629e+00  3.79986899e+00  2.46996462e+00 -3.33848649e-05 
 1.06640000e-03  2.50040521e+00  3.79706508e+00  2.46716158e+00 -3.34050948e-05 
 1.07140000e-03  2.50043372e+00  3.79429439e+00  2.46439180e+00 -3.34250885e-05 
 1.07640000e-03  2.50046181e+00  3.79155968e+00  2.46165804e+00 -3.34448261e-05 
 1.08140000e-03  2.50048944e+00  3.78886367e+00  2.45896301e+00 -3.34642879e-05 
 1.08640000e-03  2.50051659e+00  3.78620904e+00  2.45630940e+00 -3.34834544e-05 
 1.09140000e-03  2.50054323e+00  3.78359846e+00  2.45369986e+00 -3.35023065e-05 
 1.09640000e-03  2.50056934e+00  3.78103451e+00  2.45113698e+00 -3.35208254e-05 
 1.10140000e-03  2.50059488e+00  3.77851975e+00  2.44862334e+00 -3.35389924e-05 
 1.10640000e-03  2.50061983e+00  3.77605671e+00  2.44616143e+00 -3.35567895e-05 
 1.11140000e-03  2.50064418e+00  3.77364783e+00  2.44375371e+00 -3.35741987e-05 
 1.11640000e-03  2.50066788e+00  3.77129552e+00  2.44140259e+00 -3.35912026e-05 
 1.12140000e-03  2.50069093e+00  3.76900213e+00  2.43911042e+00 -3.36077842e-05 
 1.12640000e-03  2.50071330e+00  3.76676996e+00  2.43687949e+00 -3.36239269e-05 
 1.13140000e-03  2.50073496e+00  3.76460123e+00  2.43471203e+00 -3.36396144e-05 
 1.13640000e-03  2.50075590e+00  3.76249813e+00  2.43261020e+00 -3.36548310e-05 
 1.14140000e-03  2.50077609e+00  3.76046274e+00  2.43057612e+00 -3.36695615e-05 
 1.14640000e-03  2.50079552e+00  3.75849711e+00  2.42861182e+00 -3.36837909e-05 
 1.15140000e-03  2.50081416e+00  3.75660321e+00  2.42671926e+00 -3.36975050e-05 
 1.15640000e-03  2.50083199e+00  3.75478293e+00  2.42490033e+00 -3.37106901e-05 
 1.16140000e-03  2.50084901e+00  3.75303809e+00  2.42315687e+00 -3.37233328e-05 
 1.16640000e-03  2.50086519e+00  3.75137045e+00  2.42149062e+00 -3.37354204e-05 
